protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 150.138.120.1 10.0.3.15 80 48272 40 60 1460 846 60 1460 467810 58 78 1478 864 78 1478 467810 5 5 5 5 5 5 0 850 850 37 811 349 1 1 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 50792 40 60 1417 807 1460 1460 465061 58 60 1435 825 1478 1478 465061 5 5 5 5 5 5 0 1367 1367 101 1263 584 1 1 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 40216 40 60 1460 844 60 1460 471456 58 78 1478 862 78 1478 471456 5 5 5 5 5 5 0 936 936 29 905 398 1 1 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 53900 40 60 1460 822 60 1460 470545 58 78 1478 840 78 1478 470545 5 5 5 5 5 5 0 728 728 31 695 316 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 37262 80 40 40 40 300 380 1500 253486 58 40 58 318 398 1518 253486 5 5 5 5 5 5 0 7 6 3 3 1 1 1 0 15544 14600 0 15005
tcp 106.39.169.231 10.0.3.15 80 37262 40 40 40 95 40 364 14510 58 58 58 113 58 382 14510 5 5 5 5 5 5 0 6 6 3 1 1 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 46782 80 40 40 40 196 40 1427 189356 58 58 58 214 58 1445 189356 5 5 5 5 5 5 0 9 8 6 2 1 1 1 0 22720 14600 0 18120
tcp 106.39.169.231 10.0.3.15 80 55524 40 40 40 353 979 979 195938 58 40 58 371 997 997 195938 5 5 5 5 5 5 0 3 3 1 1 1 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 55524 80 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 2 2 1 0 0 0 1 0 15963 15963 0 15963
tcp 10.0.3.15 106.39.169.231 47054 80 40 40 40 276 40 1435 268787 58 58 58 294 58 1453 268787 5 5 5 5 5 5 0 6 5 3 2 1 1 1 0 15544 14600 0 15072
tcp 10.0.3.15 150.138.120.1 57864 80 40 40 40 40 40 365 106 58 40 58 58 58 383 106 5 5 5 5 5 5 0 999 998 996 2 1 1 1 0 65320 14600 0 64346
tcp 10.0.3.15 150.138.120.1 48554 80 40 40 40 41 40 362 195 58 58 58 59 58 380 195 5 5 5 5 5 5 0 532 531 529 2 1 1 1 0 65320 14600 0 63593
tcp 106.39.169.231 10.0.3.15 80 46782 40 42 60 397 42 1460 332745 58 60 78 415 60 1478 332745 5 5 5 5 5 5 0 9 9 2 5 3 1 1 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 80 47054 40 40 40 138 40 528 37949 58 58 58 156 58 546 37949 5 5 5 5 5 5 0 5 5 1 1 1 1 2 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 57864 40 60 1460 866 60 1460 474770 58 78 1478 884 78 1478 474770 5 5 5 5 5 5 0 1878 1878 2 1874 797 1 1 0 65535 65535 0 65535
tcp 150.138.120.1 10.0.3.15 80 48554 40 60 1460 900 1460 1460 465544 58 60 1478 918 1478 1478 465544 5 5 5 5 5 5 0 971 971 2 967 388 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 59076 80 40 40 40 321 40 1427 305648 58 58 58 339 58 1445 305648 5 5 5 5 5 5 0 5 4 2 2 1 1 1 0 15544 14600 0 14978
tcp 10.0.3.15 58.83.230.158 53905 443 40 40 50 123 40 401 19346 58 58 68 141 58 419 19346 5 5 5 5 5 5 0 10 8 3 5 4 1 0 0 16654 0 1 14039
udp 10.0.3.15 202.113.16.10 62495 53 58 58 58 58 58 58 0 76 58 76 76 76 76 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 106.39.171.84 43571 443 40 40 40 63 40 158 1858 58 58 58 81 58 176 1858 5 5 5 5 5 5 0 6 5 3 2 1 1 1 0 14600 14600 0 14600
tcp 106.39.169.231 10.0.3.15 80 59076 40 40 40 124 40 458 27825 58 58 58 142 58 476 27825 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
udp 202.113.16.10 10.0.3.15 53 62495 258 258 258 258 258 258 0 276 258 276 276 276 276 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 58.83.230.158 10.0.3.15 443 53905 40 40 40 134 40 797 50653 58 58 58 152 58 815 50653 5 5 5 5 5 5 0 10 10 4 3 3 1 1 0 65535 0 1 58982
tcp 10.0.3.15 106.39.169.231 46232 80 40 40 40 331 40 1476 327702 58 58 58 349 58 1494 327702 5 5 5 5 5 5 0 5 4 3 2 1 1 0 0 15729 14600 0 15052
tcp 106.39.171.84 10.0.3.15 443 43571 40 40 40 42 40 47 8 58 58 58 60 58 65 8 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 80 46232 40 43 42 228 43 789 104816 58 61 60 246 61 807 104816 5 5 5 5 5 5 0 4 4 1 1 1 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 51756 80 40 40 40 448 1452 1461 407226 58 40 58 466 1470 1479 407226 5 5 5 5 5 5 0 7 6 4 3 2 1 0 0 16616 14600 0 15446
tcp 10.0.3.15 106.39.169.231 54888 80 40 40 41 287 40 1500 294325 58 58 59 305 58 1518 294325 5 5 5 5 5 5 0 6 5 3 2 1 1 0 0 15544 14600 0 14915
tcp 106.39.169.231 10.0.3.15 80 51756 40 40 42 160 40 429 28783 58 58 60 178 58 447 28783 5 5 5 5 5 5 0 6 6 2 2 2 1 1 0 65535 65535 0 65535
tcp 106.39.169.231 10.0.3.15 80 54888 40 40 40 104 40 357 15979 58 58 58 122 58 375 15979 5 5 5 5 5 5 0 5 5 2 1 1 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 106.39.169.231 44878 80 40 40 50 305 40 1500 287177 58 58 68 323 58 1518 287177 5 5 5 5 5 5 0 6 5 3 3 1 1 0 0 15544 14600 0 14915
tcp 10.0.3.15 150.138.120.1 38000 80 40 40 40 117 40 1031 69726 58 40 58 135 58 1049 69726 5 5 5 5 5 5 0 51 50 45 5 4 1 1 0 65320 14600 0 52591
