,0
0,----------------------------------------------------------------------------------------------------
protocol " srcip" " dstip" " sport" " dport"
tcp 10.0.3.15 154.8.131.165 59015 443
tcp 154.8.131.165 10.0.3.15 443 59015
tcp 10.0.3.15 154.8.131.165 53819 443
tcp 154.8.131.165 10.0.3.15 443 53819
tcp 10.0.3.15 27.221.93.93 54181 443
tcp 27.221.93.93 10.0.3.15 443 54181
tcp 10.0.3.15 154.8.131.172 52688 443
tcp 154.8.131.172 10.0.3.15 443 52688
tcp 10.0.3.15 154.8.131.172 49933 443
tcp 10.0.3.15 119.29.29.29 58977 80
tcp 154.8.131.172 10.0.3.15 443 49933
tcp 119.29.29.29 10.0.3.15 80 58977
udp 10.0.3.15 202.113.16.41 53377 53
udp 202.113.16.41 10.0.3.15 53 53377
tcp 10.0.3.15 111.32.143.149 42577 443
tcp 10.0.3.15 119.29.29.29 37132 80
tcp 111.32.143.149 10.0.3.15 443 42577
tcp 119.29.29.29 10.0.3.15 80 37132
tcp 10.0.3.15 154.8.131.172 33643 443
tcp 10.0.3.15 154.8.131.172 52700 443
tcp 154.8.131.172 10.0.3.15 443 33643
tcp 154.8.131.172 10.0.3.15 443 52700
tcp 10.0.3.15 154.8.131.171 51687 443
tcp 10.0.3.15 119.29.29.29 40575 80
tcp 154.8.131.171 10.0.3.15 443 51687
tcp 119.29.29.29 10.0.3.15 80 40575
tcp 10.0.3.15 154.8.131.172 57359 443
tcp 154.8.131.172 10.0.3.15 443 57359
tcp 10.0.3.15 154.8.131.172 45469 443
tcp 154.8.131.172 10.0.3.15 443 45469
tcp 10.0.3.15 154.8.131.172 33958 443
tcp 154.8.131.172 10.0.3.15 443 33958
tcp 10.0.3.15 154.8.131.172 41579 443
tcp 154.8.131.172 10.0.3.15 443 41579
tcp 10.0.3.15 154.8.131.172 52598 443
tcp 154.8.131.172 10.0.3.15 443 52598
tcp 10.0.3.15 154.8.131.172 42999 443
tcp 10.0.3.15 154.8.131.172 53753 443
tcp 10.0.3.15 154.8.131.172 33601 443
tcp 10.0.3.15 154.8.131.172 51360 443
tcp 10.0.3.15 154.8.131.172 55898 443
tcp 154.8.131.172 10.0.3.15 443 42999
tcp 10.0.3.15 154.8.131.172 35071 443
tcp 154.8.131.172 10.0.3.15 443 53753
tcp 10.0.3.15 154.8.131.172 39823 443
tcp 154.8.131.172 10.0.3.15 443 51360
tcp 154.8.131.172 10.0.3.15 443 33601
tcp 154.8.131.172 10.0.3.15 443 55898
tcp 154.8.131.172 10.0.3.15 443 35071
tcp 154.8.131.172 10.0.3.15 443 39823
tcp 10.0.3.15 58.58.80.224 50156 443
tcp 10.0.3.15 119.29.29.29 37437 80
tcp 119.29.29.29 10.0.3.15 80 37437
tcp 58.58.80.224 10.0.3.15 443 50156
tcp 10.0.3.15 116.136.135.227 54170 443
tcp 116.136.135.227 10.0.3.15 443 54170
tcp 10.0.3.15 116.136.135.227 40118 443
tcp 10.0.3.15 116.136.135.227 37009 443
tcp 116.136.135.227 10.0.3.15 443 40118
tcp 116.136.135.227 10.0.3.15 443 37009
udp 10.0.3.15 202.113.16.41 40631 53
udp 202.113.16.41 10.0.3.15 53 40631
tcp 10.0.3.15 121.17.123.141 33707 443
tcp 121.17.123.141 10.0.3.15 443 33707
tcp 10.0.3.15 121.17.123.141 47540 443
tcp 121.17.123.141 10.0.3.15 443 47540
tcp 10.0.3.15 121.17.123.141 47459 443
tcp 10.0.3.15 121.17.123.141 47296 443
tcp 121.17.123.141 10.0.3.15 443 47459
tcp 121.17.123.141 10.0.3.15 443 47296
tcp 10.0.3.15 154.8.131.172 50720 443
tcp 154.8.131.172 10.0.3.15 443 50720
udp 10.0.3.15 202.113.16.41 26127 53
udp 202.113.16.41 10.0.3.15 53 26127
tcp 10.0.3.15 222.222.88.102 34360 443
tcp 222.222.88.102 10.0.3.15 443 34360
tcp 10.0.3.15 154.8.131.165 46758 443
tcp 10.0.3.15 150.138.179.234 40259 80
udp 10.0.3.15 202.113.16.41 56824 53
udp 202.113.16.41 10.0.3.15 53 56824
tcp 154.8.131.165 10.0.3.15 443 46758
tcp 10.0.3.15 150.138.98.120 54167 443
tcp 150.138.179.234 10.0.3.15 80 40259
tcp 150.138.98.120 10.0.3.15 443 54167
tcp 10.0.3.15 116.136.135.227 49925 443
tcp 10.0.3.15 150.138.98.120 43711 443
tcp 116.136.135.227 10.0.3.15 443 49925
tcp 150.138.98.120 10.0.3.15 443 43711
tcp 10.0.3.15 150.138.98.120 35093 443
tcp 150.138.98.120 10.0.3.15 443 35093
tcp 10.0.3.15 106.75.84.31 36898 443
tcp 106.75.84.31 10.0.3.15 443 36898
tcp 10.0.3.15 121.17.123.141 50827 443
tcp 121.17.123.141 10.0.3.15 443 50827
tcp 10.0.3.15 154.8.131.172 37412 443
tcp 154.8.131.172 10.0.3.15 443 37412
tcp 10.0.3.15 154.8.131.172 60621 443
tcp 154.8.131.172 10.0.3.15 443 60621
tcp 10.0.3.15 119.29.29.29 43099 80
tcp 10.0.3.15 58.58.80.224 60461 443
tcp 119.29.29.29 10.0.3.15 80 43099
tcp 58.58.80.224 10.0.3.15 443 60461
tcp 10.0.3.15 154.8.131.172 57413 443
tcp 154.8.131.172 10.0.3.15 443 57413
tcp 10.0.3.15 119.188.218.226 49499 443
tcp 119.188.218.226 10.0.3.15 443 49499
tcp 10.0.3.15 154.8.131.172 55557 443
tcp 154.8.131.172 10.0.3.15 443 55557
tcp 10.0.3.15 154.8.131.172 38635 443
