protocol " srcip" " dstip" " sport" " dport" " min_data_ip" " q1_data_ip" " med_data_ip" mean_data_ip q3_data_ip " max_data_ip" var_data_ip " min_data_wire" " q1_data_wire" " med_data_wire" mean_data_wire q3_data_wire " max_data_wire" var_data_wire min_data_control q1_data_control med_data_control mean_data_control q3_data_control max_data_control var_data_control total_packets ack_pkts_sent pure_acks_sent actual_data_bytes pushed_data_pkts SYN_pkts_sent FIN_pkts_sent urgent_data_pkts max_win_adv min_win_adv zero_win_adv avg_win_adv
tcp 10.0.3.15 61.48.83.77 60721 443 40 40 40 51 40 445 3599 58 58 58 69 58 463 3599 5 5 5 5 5 5 0 78 77 72 5 4 1 1 0 65320 14600 0 58797
tcp 10.0.3.15 61.48.83.77 52386 443 40 40 40 88 40 445 13801 58 58 58 106 58 463 13801 5 5 5 5 5 5 0 18 17 12 5 4 1 1 0 55380 14600 0 33897
tcp 61.48.83.77 10.0.3.15 443 52386 40 62 360 739 62 1460 454717 58 80 378 757 80 1478 454717 5 5 5 5 5 5 0 25 25 5 18 7 1 1 0 65535 65535 0 65535
tcp 61.48.83.77 10.0.3.15 443 60721 40 815 1460 1132 815 1460 320890 58 833 1478 1150 833 1478 320890 5 5 5 5 5 5 0 146 146 5 139 30 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 60287 443 40 40 40 159 40 893 70904 58 58 58 177 58 911 70904 5 5 5 5 5 5 0 17 16 10 6 5 1 1 0 42600 14600 0 27468
tcp 10.0.3.15 154.8.131.171 38591 443 40 40 40 126 40 893 47762 58 58 58 144 58 911 47762 5 5 5 5 5 5 0 14 13 8 5 4 1 1 0 34080 14600 0 24226
tcp 154.8.131.171 10.0.3.15 443 60287 40 40 160 563 40 1460 411045 58 58 178 581 58 1478 411045 5 5 5 5 5 5 0 21 21 6 13 6 1 1 0 65535 65535 0 65535
tcp 154.8.131.171 10.0.3.15 443 38591 40 40 114 530 40 1460 401691 58 58 132 548 58 1478 401691 5 5 5 5 5 5 0 16 16 5 9 4 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.171 60257 443 40 40 40 160 99 861 60499 58 40 58 178 117 879 60499 5 5 5 5 5 5 0 11 10 5 5 4 1 1 0 24140 14600 0 18936
tcp 154.8.131.171 10.0.3.15 443 60257 40 40 40 339 341 1460 287312 58 40 58 357 359 1478 287312 5 5 5 5 5 5 0 11 11 5 4 2 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 121.17.123.141 41595 443 40 40 40 91 40 493 15183 58 58 58 109 58 511 15183 5 5 5 5 5 5 0 24 23 17 6 5 1 1 0 65320 14600 0 41112
tcp 121.17.123.141 10.0.3.15 443 41595 40 69 1213 851 1460 1460 417658 58 69 1231 869 1478 1478 417658 5 5 5 5 5 5 0 35 35 6 27 10 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 47157 443 40 40 40 190 40 461 38603 58 58 58 208 58 479 38603 5 5 5 5 5 5 0 34 33 18 15 14 1 1 0 65320 14600 0 45302
tcp 10.0.3.15 61.48.83.77 44867 443 40 40 40 133 40 461 25643 58 58 58 151 58 479 25643 5 5 5 5 5 5 0 14 13 7 6 5 1 1 0 29820 14600 0 21877
tcp 61.48.83.77 10.0.3.15 443 47157 40 40 122 628 40 1460 423999 58 58 140 646 58 1478 423999 5 5 5 5 5 5 0 54 54 15 37 19 1 1 0 65535 65535 0 65535
tcp 61.48.83.77 10.0.3.15 443 44867 40 40 48 426 40 1460 361943 58 58 66 444 58 1478 361943 5 5 5 5 5 5 0 16 16 6 8 4 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 61.48.83.77 46443 443 40 40 40 168 40 461 34129 58 58 58 186 58 479 34129 5 5 5 5 5 5 0 20 19 10 9 8 1 1 0 46860 14600 0 28946
tcp 61.48.83.77 10.0.3.15 443 46443 40 40 80 529 1460 1460 390650 58 40 98 547 1478 1478 390650 5 5 5 5 5 5 0 27 27 9 16 9 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 121.17.123.141 44310 443 40 40 40 95 40 493 17162 58 58 58 113 58 511 17162 5 5 5 5 5 5 0 17 15 10 5 4 1 0 0 44020 0 1 27037
tcp 121.17.123.141 10.0.3.15 443 44310 40 43 414 726 43 1460 456640 58 61 432 744 61 1478 456640 5 5 5 5 5 5 0 20 20 4 13 4 1 1 0 65535 0 1 62258
udp 10.0.3.15 202.113.16.41 34150 53 64 64 64 64 64 64 0 82 64 82 82 82 82 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
udp 202.113.16.41 10.0.3.15 53 34150 112 112 112 112 112 112 0 130 112 130 130 130 130 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
tcp 10.0.3.15 154.8.131.172 56780 443 40 40 77 347 479 1500 232093 58 40 95 365 497 1518 232093 5 5 5 5 5 5 0 11 10 3 7 5 1 1 0 16385 14600 0 15516
tcp 154.8.131.172 10.0.3.15 443 56780 40 40 40 105 44 605 26720 58 40 58 123 62 623 26720 5 5 5 5 5 5 0 11 11 7 2 2 1 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.172 41192 443 40 40 60 252 40 1389 179441 58 58 78 270 58 1407 179441 5 5 5 5 5 5 0 9 8 3 5 4 1 1 0 16385 14600 0 15510
tcp 154.8.131.172 10.0.3.15 443 41192 40 40 40 119 40 605 31514 58 58 58 137 58 623 31514 5 5 5 5 5 5 0 9 9 5 2 2 1 1 0 65535 65535 0 65535
tcp 154.8.131.172 10.0.3.15 443 60019 40 49 58 58 49 77 342 58 67 76 76 67 95 342 5 5 5 5 5 5 0 2 2 0 1 1 0 1 0 65535 65535 0 65535
tcp 10.0.3.15 154.8.131.172 60019 443 40 40 40 40 40 40 0 58 58 58 58 58 58 0 5 5 5 5 5 5 0 2 2 2 0 0 0 0 0 25560 25560 0 25560
udp 10.0.3.15 202.113.16.41 62120 53 64 64 64 64 64 64 0 82 64 82 82 82 82 0 5 5 5 5 5 5 0 1 0 0 0 0 0 0 0 - - - -
